# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1910-04-01,1910,4,17.5237,113.4333,117.1671,408.7587,0.0333
1910-05-01,1910,5,100,243.2577,763.5322,2088.2345,2.5892
1910-06-01,1910,6,94.0338,169.2501,389.0586,1023.0445,0.547
1910-07-01,1910,7,126.7007,351.1955,1819.4355,3956.0182,14.7302
1910-08-01,1910,8,100,301.5602,1234.852,2919.9495,24.2182
1910-09-01,1910,9,466.8677,1498.7676,5816.3592,14248.102,247.3215
1910-10-01,1910,10,144.0012,470.4073,2259.8179,8655.7605,42.7067
1910-11-01,1910,11,100,298.2376,1181.4039,3456.9768,3.99
1910-12-01,1910,12,51.1121,153.242,401.3531,1598.9395,0.5862
1911-01-01,1911,1,13.0822,117.0876,114.0017,459.5998,0.0034
1911-02-01,1911,2,444.9126,416.3982,2729.6593,6202.9592,34.5417
1911-03-01,1911,3,759.4224,1971.7033,5582.7871,19024.1826,68.8833
1911-04-01,1911,4,96.8297,127.4827,863.0262,2745.8019,0.437
1911-05-01,1911,5,107.6216,569.833,1220.1791,6344.4158,3.3029
1911-06-01,1911,6,260.5457,1693.0429,2756.2195,13107.4167,79.6822
1911-07-01,1911,7,100,1547.3073,2233.9503,9001.7099,53.3132
1911-08-01,1911,8,51.9085,354.5385,985.1425,2723.6162,1.7058
1911-09-01,1911,9,618.4577,5675.0389,12601.1065,38700.2005,4616.068
1911-10-01,1911,10,100,245.4486,2653.3343,5922.5609,24.0309
1911-11-01,1911,11,28.1104,123.9948,708.0726,1512.7597,0.0362
1911-12-01,1911,12,254.4199,446.4593,1538.1229,4893.9115,45.5023
1912-01-01,1912,1,32.2492,124.1327,250.3887,842.626,0.2321
1912-02-01,1912,2,12.0583,113.0304,90.0751,363.1441,0.002
1912-03-01,1912,3,11.2031,139.9031,93.8527,454.5529,0.061
1912-04-01,1912,4,42.4077,222.4297,425.5775,1190.2238,0.2991
1912-05-01,1912,5,11.4669,137.0046,136.2397,577.7762,0.0246
1912-06-01,1912,6,59.3678,250.6273,421.6037,1504.7203,0.5097
1912-07-01,1912,7,38.799,187.6381,308.4248,1104.8929,0.1755
